ImageId,EncodedPixels
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,81097 3 81614 6 82131 9 82650 9 83167 12 83685 13 84201 16 84717 19 85232 22 85749 24 86267 25 86786 24 87305 24 87823 25 88341 26 88860 25 89379 25 89898 24 90417 23 90938 19 91457 18 91977 16 92497 14 93017 11 93537 9
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,65523 7 66039 12 66551 21 67069 23 67587 24 68106 26 68625 26 69144 27 69663 28 70182 28 70701 28 71220 28 71739 27 72258 27 72777 26 73297 25 73817 23 74337 21 74857 19 75377 17 75898 15 76418 12 76940 7
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,93054 1 93568 8 94083 13 94600 16 95118 18 95637 18 96155 19 96674 19 97192 20 97711 20 98230 20 98749 19 99268 19 99787 18 100307 17 100827 15 101347 13 101867 11 102388 7 102909 3
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,75407 5 75925 8 76443 9 76961 10 77480 10 77999 10 78518 10 79037 11 79556 12 80075 12 80594 12 81113 12 81632 12 82151 12 82671 11 83190 11 83709 11 84229 10 84748 10 85267 10 85787 9 86306 9 86826 7 87347 4
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,108628 2 109142 13 109660 16 110178 19 110697 21 111216 21 111734 22 112254 21 112773 21 113292 21 113812 20 114332 18 114853 15 115374 13 115895 9
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,92553 3 93070 8 93588 11 94107 12 94625 13 95144 14 95662 16 96181 16 96700 16 97219 17 97738 17 98257 17 98776 18 99295 18 99814 18 100333 19 100852 19 101371 19 101891 18 102410 18 102929 18 103449 18 103968 17 104487 18 105007 16 105527 15 106046 14 106566 12 107086 10 107606 8 108127 5
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,5369 9 5888 9 6406 10 6924 11 7442 12 7961 11 8479 10 8998 8 9516 8 10034 8 10553 7 11071 4 11590 3
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,27693 4 28210 9 28729 14 29248 14 29767 15 30287 15 30806 15 31327 12 31847 11 32367 9 32886 10 33406 8 33925 1 33927 6 34446 5 34967 1
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,103471 2 103989 5 104507 8 105025 11 105545 10 106063 11 106582 11 107102 8 107621 8 108140 6 108660 5
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,119070 5 119587 9 120094 5 120105 11 120611 9 120623 13 121128 28 121645 30 122162 32 122679 35 123197 36 123715 37 124233 39 124752 40 125270 42 125789 27 125818 13 126308 26 126338 12 126826 27 126858 10 127345 27 127378 7 127865 26 127899 4 128384 25 128903 25 129423 23 129943 21 130464 17 130985 9
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,98285 3 98805 4 99323 5 99842 5 100361 4 100881 2 101399 2
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,37594 5 38110 10 38628 14 39145 18 39664 18 40182 20 40700 21 41219 21 41737 22 42257 20 42776 20 43295 20 43815 17 44335 15 44860 7
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,15295 10 15812 15 16330 18 16848 21 17367 23 17886 25 18405 26 18924 28 19443 29 19962 30 20481 30 21001 30 21520 31 22040 30 22560 29 23079 29 23599 29 24119 28 24639 27 25160 24 25681 21 26202 18 26723 15 27245 11
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,254 29 773 30 1294 27 1814 25 2334 22 2856 18 3377 16 3899 13 4419 13 4937 15 5456 15 5975 16 6494 16 7013 16 7532 16 8051 16 8570 16 9089 16 9608 16 10128 14 10647 14 11166 13 11685 12 12205 10 12725 7 13246 3
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,52185 10 52701 15 53217 20 53735 23 54253 25 54770 28 55289 28 55807 30 56325 32 56843 33 57362 33 57880 34 58399 34 58918 34 59436 35 59955 35 60474 35 60993 34 61512 33 62031 33 62551 31 63070 30 63589 29 64108 28 64627 28 65147 25 65667 22 66187 19 66707 15 67228 9
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,10147 11 10662 19 11181 20 11699 22 12218 22 12738 22 13257 23 13776 23 14295 23 14813 25 15332 25 15851 25 16369 26 16889 24 17407 25 17926 25 18444 25 18963 25 19481 25 20001 24 20520 24 21039 23 21559 22 22078 21 22598 18 23117 17 23637 14 24157 11 24679 5
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,93721 4 94236 11 94752 16 95269 19 95787 20 96304 23 96823 23 97342 23 97861 23 98380 23 98898 23 99418 22 99937 21 100456 20 100975 19 101496 16 102017 11 102542 1
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,113962 2 114481 2 114995 8 115514 7 116032 8 116554 1 116556 2
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,310 17 828 19 1347 20 1866 21 2385 22 2904 22 3423 23 3942 24 4461 24 4980 25 5500 24 6019 25 6539 25 7058 25 7578 24 8098 23 8618 22 9137 22 9657 21 10177 19 10697 17 11217 16 11737 14 12258 11 12779 7
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,124357 4 124876 5 125393 9 125911 11 126429 12 126948 12 127466 13 127986 11 128506 10 129025 10 129544 10 130063 10 130581 10 131102 6
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,67295 5 67812 9 68330 10 68847 13 69365 14 69883 15 70401 16 70920 16 71437 18 71955 18 72474 18 72992 18 73510 19 74029 19 74548 19 75066 19 75585 18 76103 19 76621 20 77139 20 77658 19 78176 20 78695 19 79214 18 79733 16 80252 14 80772 12 81292 10 81813 6
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,42384 7 42901 13 43418 18 43936 21 44454 23 44972 25 45490 27 46009 28 46528 28 47046 29 47565 29 48084 29 48603 30 49122 29 49641 29 50161 28 50680 27 51200 26 51720 24 52240 22 52761 19 53281 16 53802 11
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,82353 2 82870 5 83388 8 83421 3 83907 9 83939 6 84426 10 84456 10 84944 13 84974 12 85463 16 85492 14 85982 17 86011 14 86501 18 86530 15 87019 20 87049 15 87537 21 87568 16 88056 20 88087 16 88574 21 88606 17 89093 21 89124 18 89612 20 89643 18 90131 19 90162 18 90650 18 90680 19 91169 18 91198 20 91688 18 91716 21 92207 18 92235 20 92726 17 92753 20 93245 17 93272 18 93764 16 93791 15 94283 15 94310 15 94802 15 94823 20 95321 14 95339 23 95840 14 95856 25 96360 12 96373 26 96879 39 97399 37 97922 4 97928 26 98447 25 98966 25 99485 25 100004 25 100523 25 101041 27 101560 27 102079 28 102599 27 103118 28 103637 28 104156 28 104676 27 105195 27 105715 26 106234 26 106753 26 107273 25 107793 24 108312 23 108833 21 109352 21 109872 19 110395 13 110916 8
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,358 16 876 17 1394 18 1913 17 2432 17 2951 16 3470 16 3989 15 4507 16 5027 14 5546 14 6065 13 6585 11 7105 8 7626 5
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,11800 5 12317 8 12835 10 13353 12 13872 12 14390 14 14909 14 15427 15 15946 15 16465 16 16984 16 17503 16 18022 16 18540 17 19059 17 19578 17 20097 17 20615 17 21134 18 21653 17 22172 17 22691 17 23210 17 23728 17 24247 17 24766 16 25285 15 25805 13 26324 12 26843 12 27363 10 27882 9 28403 5
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,117173 1 117688 8 118205 12 118723 15 119241 17 119759 19 120277 22 120796 22 121314 24 121832 25 122350 26 122868 27 123387 27 123905 28 124424 28 124943 28 125461 29 125980 29 126498 30 127017 30 127536 29 128054 30 128573 28 129092 28 129611 27 130129 27 130648 27 131169 23
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,65267 12 65784 17 66302 19 66820 22 67339 23 67858 23 68377 24 68896 24 69415 25 69934 25 70453 25 70972 26 71492 24 72011 25 72531 24 73051 22 73571 21 74090 21 74610 20 75131 17 75651 15 76173 11 76693 6
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,46610 4 47127 8 47645 10 48163 13 48681 14 49200 15 49718 16 50237 17 50755 18 51274 18 51792 19 52311 19 52830 19 53348 20 53867 20 54386 20 54905 20 55424 20 55942 20 56461 20 56981 19 57500 19 58019 19 58538 18 59057 18 59577 16 60096 15 60615 15 61135 12 61655 9 62174 8 62695 3
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,116701 8 117218 11 117735 14 118251 17 118769 18 119286 21 119803 23 120321 24 120840 23 121358 24 121876 25 122394 26 122913 26 123431 26 123950 26 124468 27 124987 26 125506 26 126025 25 126544 24 127063 23 127582 21 128102 19 128621 17 129141 14 129661 11 130181 8
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,441 3 445 3 453 9 958 26 1479 25 2002 1 2004 19 2523 20 3043 19 3562 20 4082 20 4601 20 5120 20 5640 19 6160 17 6680 16 7200 13 7719 11 8242 1 8244 3
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,58074 1 58585 13 59102 17 59619 22 60137 24 60655 26 61173 27 61691 29 62210 30 62728 31 63247 32 63766 33 64285 34 64804 35 65323 36 65842 37 66360 38 66877 41 67395 42 67913 43 68431 45 68949 46 69468 45 69986 46 70505 46 71024 46 71543 20 71564 24 72062 20 72083 24 72581 19 72602 23 73101 17 73121 23 73620 16 73641 20 74139 15 74160 20 74659 12 74679 19 75180 8 75197 18 75716 16 76236 14 76761 3 76765 1
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,12389 4 12394 1 12905 16 13424 18 13942 20 14460 22 14978 24 15496 25 16015 26 16534 27 17053 28 17572 29 18091 29 18610 29 19129 30 19649 29 20168 29 20687 29 21207 28 21726 27 22247 25 22766 26 23286 26 23806 26 24325 26 24844 26 25363 27 25882 27 26401 26 26920 26 27440 25 27960 24 28479 24 28999 23 29519 23 30038 24 30557 24 31076 24 31595 24 32114 24 32633 23 33152 23 33671 22 34190 22 34710 19 35229 18 35749 16 36270 11
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,86125 10 86641 15 87158 17 87675 20 88192 23 88709 25 89227 26 89745 28 90263 28 90782 29 91300 29 91819 29 92338 29 92856 29 93375 29 93894 28 94412 29 94931 28 95451 26 95970 25 96489 24 97009 22 97528 20 98048 18 98568 14 99091 6
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,105846 7 106363 11 106880 14 107398 16 107915 20 108433 22 108951 24 109469 26 109987 27 110506 28 111024 29 111543 29 112062 29 112580 30 113099 30 113618 30 114137 30 114656 29 115175 29 115694 29 116214 27 116733 26 117252 26 117772 24 118292 22 118812 19 119332 17 119852 14 120374 7
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,33209 6 33216 1 33726 10 34243 12 34761 13 35279 14 35797 15 36316 15 36834 16 37353 16 37871 17 38390 17 38909 17 39428 17 39947 17 40466 17 40985 17 41504 17 42024 16 42544 15 43064 14 43584 13 44104 12 44624 11 45148 4
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,60199 1 60201 1 60714 10 61231 12 61749 13 62267 14 62786 14 63305 14 63824 14 64342 15 64862 14 65381 14 65900 14 66419 14 66939 13 67459 12 67980 10 68501 8 69022 6 69543 2
